atomicNumber	elementSymbol	name	covSingleBondRadius	covDoubleBondRadius	covTripleBondRadius	electronegativity	valency	colorValue									
58	Ce	Cerium	163	137	131	1.12	[3,4]				“	“: { row: 	8	, col: 	4	 },	“Ce“: { row: 8, col: 4 },
59	Pr	Praseodymium	176	138	128	1.13	[3]				“	“: { row: 	8	, col: 	5	 },	“Pr“: { row: 8, col: 5 },
60	Nd	Neodymium	174	137		1.14	[3,4]				“	“: { row: 	8	, col: 	6	 },	“Nd“: { row: 8, col: 6 },
61	Pm	Promethium	173	135		1.13	[3]				“	“: { row: 	8	, col: 	7	 },	“Pm“: { row: 8, col: 7 },
62	Sm	Samarium	172	134		1.17	[3]				“	“: { row: 	8	, col: 	8	 },	“Sm“: { row: 8, col: 8 },
63	Eu	Europium	168	134		1.2	[3]				“	“: { row: 	8	, col: 	9	 },	“Eu“: { row: 8, col: 9 },
64	Gd	Gadolinium	169	135	132	1.2	[3]				“	“: { row: 	8	, col: 	10	 },	“Gd“: { row: 8, col: 10 },
65	Tb	Terbium	168	135		1.2	[3,4]				“	“: { row: 	8	, col: 	11	 },	“Tb“: { row: 8, col: 11 },
66	Dy	Dysprosium	167	133		1.22	[3]				“	“: { row: 	8	, col: 	12	 },	“Dy“: { row: 8, col: 12 },
67	Ho	Holmium	166	133		1.23	[3]				“	“: { row: 	8	, col: 	13	 },	“Ho“: { row: 8, col: 13 },
68	Er	Erbium	165	133		1.24	[3]				“	“: { row: 	8	, col: 	14	 },	“Er“: { row: 8, col: 14 },
69	Tm	Thulium	164	131		1.25	[3]				“	“: { row: 	8	, col: 	15	 },	“Tm“: { row: 8, col: 15 },
70	Yb	Ytterbium	170	129		1.1	[3]				“	“: { row: 	8	, col: 	16	 },	“Yb“: { row: 8, col: 16 },
71	Lu	Lutetium	162	131	131	1.27	[3]				“	“: { row: 	6	, col: 	3	 },	“Lu“: { row: 6, col: 3 },
72	Hf	Hafnium	152	122	122	1.3	[4]				“	“: { row: 	6	, col: 	4	 },	“Hf“: { row: 6, col: 4 },
73	Ta	Tantalum	146	119	119	1.5	[5]				“	“: { row: 	6	, col: 	5	 },	“Ta“: { row: 6, col: 5 },
74	W	Tungsten	137	115	115	2.36	[6]				“	“: { row: 	6	, col: 	6	 },	“W“: { row: 6, col: 6 },
75	Re	Rhenium	131	110	110	1.9	[2,4,6,7]				“	“: { row: 	6	, col: 	7	 },	“Re“: { row: 6, col: 7 },
76	Os	Osmium	129	109	109	2.2	[3,4,6,8]				“	“: { row: 	6	, col: 	8	 },	“Os“: { row: 6, col: 8 },
77	Ir	Iridium	122	115	107	2.2	[3,4,6]				“	“: { row: 	6	, col: 	9	 },	“Ir“: { row: 6, col: 9 },
78	Pt	Platinum	123	112	110	2.28	[2,6]				“	“: { row: 	6	, col: 	10	 },	“Pt“: { row: 6, col: 10 },
79	Au	Gold	124	121	123	2.54	[1,3]	#FFD123			“	“: { row: 	6	, col: 	11	 },	“Au“: { row: 6, col: 11 },
80	Hg	Mercury	133	142		2	[1,2]				“	“: { row: 	6	, col: 	12	 },	“Hg“: { row: 6, col: 12 },
81	Tl	Thallium	144	142	150	1.62	[1,3]				“	“: { row: 	6	, col: 	13	 },	“Tl“: { row: 6, col: 13 },
82	Pb	Lead	144	135	137	1.87	[2,4]				“	“: { row: 	6	, col: 	14	 },	“Pb“: { row: 6, col: 14 },
83	Bi	Bismuth	151	141	135	2.02	[3]				“	“: { row: 	6	, col: 	15	 },	“Bi“: { row: 6, col: 15 },
84	Po	Polonium	145	135	129	2	[2,4]				“	“: { row: 	6	, col: 	16	 },	“Po“: { row: 6, col: 16 },
85	At	Astatine	147	138	138	2.2	[1]				“	“: { row: 	6	, col: 	17	 },	“At“: { row: 6, col: 17 },
86	Rn	Radon	142	145	133	2.2	[0]				“	“: { row: 	6	, col: 	18	 },	“Rn“: { row: 6, col: 18 },
87	Fr	Francium	223	218		0.79	[1]				“	“: { row: 	7	, col: 	1	 },	“Fr“: { row: 7, col: 1 },
88	Ra	Radium	201	173	159	0.9	[2]				“	“: { row: 	7	, col: 	2	 },	“Ra“: { row: 7, col: 2 },
89	Ac	Actinium	186	153	140	1.1	[3]				“	“: { row: 	9	, col: 	3	 },	“Ac“: { row: 9, col: 3 },
90	Th	Thorium	175	143	136	1.3	[4]				“	“: { row: 	9	, col: 	4	 },	“Th“: { row: 9, col: 4 },
91	Pa	Protactinium	169	138	129	1.5	[5]				“	“: { row: 	9	, col: 	5	 },	“Pa“: { row: 9, col: 5 },
92	U	Uranium	170	134	118	1.38	[3,4,6]				“	“: { row: 	9	, col: 	6	 },	“U“: { row: 9, col: 6 },
93	Np	Neptunium	171	136	116	1.36	[]				“	“: { row: 	9	, col: 	7	 },	“Np“: { row: 9, col: 7 },
94	Pu	Plutonium	172	135		1.28	[]				“	“: { row: 	9	, col: 	8	 },	“Pu“: { row: 9, col: 8 },
95	Am	Americium	166	135		1.13	[]				“	“: { row: 	9	, col: 	9	 },	“Am“: { row: 9, col: 9 },
96	Cm	Curium	166	136		1.28	[]				“	“: { row: 	9	, col: 	10	 },	“Cm“: { row: 9, col: 10 },
97	Bk	Berkelium	168	139		1.3	[]				“	“: { row: 	9	, col: 	11	 },	“Bk“: { row: 9, col: 11 },
98	Cf	Californium	168	140		1.3	[]				“	“: { row: 	9	, col: 	12	 },	“Cf“: { row: 9, col: 12 },
99	Es	Einsteinium	165	140		1.3	[]				“	“: { row: 	9	, col: 	13	 },	“Es“: { row: 9, col: 13 },
100	Fm	Fermium	167			1.3	[]				“	“: { row: 	9	, col: 	14	 },	“Fm“: { row: 9, col: 14 },
101	Md	Mendelevium	173	139		1.3	[]				“	“: { row: 	9	, col: 	15	 },	“Md“: { row: 9, col: 15 },
102	No	Nobelium	176			1.3	[]				“	“: { row: 	9	, col: 	16	 },	“No“: { row: 9, col: 16 },
103	Lr	Lawrencium	161	141		1.3	[]				“	“: { row: 	7	, col: 	3	 },	“Lr“: { row: 7, col: 3 },
104	Rf	Rutherfordium	157	140	131		[]				“	“: { row: 	7	, col: 	4	 },	“Rf“: { row: 7, col: 4 },
105	Db	Dubnium	149	136	126		[]				“	“: { row: 	7	, col: 	5	 },	“Db“: { row: 7, col: 5 },
106	Sg	Seaborgium	143	128	121		[]				“	“: { row: 	7	, col: 	6	 },	“Sg“: { row: 7, col: 6 },
107	Bh	Bohrium	141	128	119		[]				“	“: { row: 	7	, col: 	7	 },	“Bh“: { row: 7, col: 7 },
108	Hs	Hassium	134	125	118		[]				“	“: { row: 	7	, col: 	8	 },	“Hs“: { row: 7, col: 8 },
109	Mt	Meitnerium	129	125	113		[]				“	“: { row: 	7	, col: 	9	 },	“Mt“: { row: 7, col: 9 },
110	Ds	Barmstatium	128	116	112		[]				“	“: { row: 	7	, col: 	10	 },	“Ds“: { row: 7, col: 10 },
111	Rg	Roentgenium	121	116	118		[]				“	“: { row: 	7	, col: 	11	 },	“Rg“: { row: 7, col: 11 },
112	Cn	Copernicium	122	137	130		[]				“	“: { row: 	7	, col: 	12	 },	“Cn“: { row: 7, col: 12 },
113	Nh	Nihonium	136				[]				“	“: { row: 	7	, col: 	13	 },	“Nh“: { row: 7, col: 13 },
114	Fl	Flerovium	143				[]				“	“: { row: 	7	, col: 	14	 },	“Fl“: { row: 7, col: 14 },
115	Mc	Moscovium	162				[]				“	“: { row: 	7	, col: 	15	 },	“Mc“: { row: 7, col: 15 },
116	Lv	Livermorium	175				[]				“	“: { row: 	7	, col: 	16	 },	“Lv“: { row: 7, col: 16 },
117	Ts	Tenessine	165				[]				“	“: { row: 	7	, col: 	17	 },	“Ts“: { row: 7, col: 17 },
118	Og	Oganesson	157				[]				“	“: { row: 	7	, col: 	18	 },	“Og“: { row: 7, col: 18 },
							[]										
																	
					[	1	]										
					[	0	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	4	]										
					[	3,4	]										
					[	2	]										
					[	1	]										
					[	0	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	4	]										
					[	3,5	]										
					[	2,4,6	]										
					[	1	]										
					[	0	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	2,3,4	]										
					[	2,3,4,5	]										
					[	2,3,6	]										
					[	2,4,7	]										
					[	2,3,6	]										
					[	2,3	]										
					[	2	]										
					[	1,2	]										
					[	2	]										
					[	3	]										
					[	2,4	]										
					[	3,5	]										
					[	2,4,6	]										
					[	1,5	]										
					[	0	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	4	]										
					[	5	]										
					[	3,6	]										
					[	6	]										
					[	3,4,8	]										
					[	4	]										
					[	2,4	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	2,4	]										
					[	3,5	]										
					[	2,4,6	]										
					[	1,3,5,7	]										
					[	0	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	3,4	]										
					[	3	]										
					[	3,4	]										
					[	3	]										
					[	3	]										
					[	3	]										
					[	3	]										
					[	3,4	]										
					[	3	]										
					[	3	]										
					[	3	]										
					[	3	]										
					[	3	]										
					[	3	]										
					[	4	]										
					[	5	]										
					[	6	]										
					[	2,4,6,7	]										
					[	3,4,6,8	]										
					[	3,4,6	]										
					[	2,6	]										
					[	1,3	]										
					[	1,2	]										
					[	1,3	]										
					[	2,4	]										
					[	3	]										
					[	2,4	]										
					[	1	]										
					[	0	]										
					[	1	]										
					[	2	]										
					[	3	]										
					[	4	]										
					[	5	]										
					[	3,4,6	]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
					[		]										
